柳川 徹 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0004953722973349317
真栄城 哲也 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0004935334417392425
中山 伸一 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0004935334417392425
村越 伸行 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0004931997891943307
鈴木 陽子 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0004890838624900682
田名辺 陽子 ( 2020年度: 筑波大学, 体育系, 研究員 )= 0.0004890838624900682
下山 寛之 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0004890838624900682
橋爪 祐美 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.00048762154521783137
増田 元香 ( 2020年度: 文京学院大学, 保健医療技術学部, 教授 )= 0.00048762154521783137
礒田 正美 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.00048732179999828775
木村 達雄 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.00048587901805300623
李 頡 ( 2020年度: 筑波大学, システム情報系, 客員教授 )= 0.0004851899517577131
松元 剛 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.00048458758405078075
中田 由夫 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.00048371172458584754
高橋 洋成 ( 2020年度: 東京外国語大学, アジア・アフリカ言語文化研究所, 研究員 )= 0.00048190083098458925
永井 正勝 ( 2020年度: 東京大学, 附属図書館, 特任准教授 )= 0.00048190083098458925
雨宮 護 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.00047858655573216675
渡邉 大貴 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.00047332958881434985
清水 如代 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.00047332958881434985
高木 英明 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.00047054587135211134
宮本 雅彦 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0004702359213485077
八森 正泰 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0004681676469517647
青嶋 誠 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.00046555433434768514
南雲 康行 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0004633561935554511
酒井 俊 ( 2020年度: 筑波技術大学, 保健科学部, 教授 )= 0.0004621452504682698
林 純一 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.00046147738400938496
谷川 聡 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.000459870341230451
松本 孔貴 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.000457146247442419
高野 晋吾 ( 2020年度: 筑波大学, 附属病院, 病院講師 )= 0.00045280930921944994
木下 保 ( 2020年度: 筑波大学, 数理物質系, 准教授 )= 0.00045267538931449767
鍋山 隆弘 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0004496648847919916
藤井 さやか ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0004495988689009603
下條 信威 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.00044947638535962033
北園 智弘 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.00044716513419170323
宮下 憲 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授
2020年度: 帝京大学, 医療技術学部, 教授 )= 0.0004457602524868343
亀田 壽夫 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.0004444719875256932
山本 真 ( 2020年度: 筑波大学, 人文社会系, 准教授
2020年度: 公益財団法人東洋文庫, 研究部, 研究員 )= 0.00044380135179998375
丸山 宏 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0004432090172564007
高久 雅生 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0004416696602496538
斉藤 環 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000441652098348902
尹 之恩 ( 2020年度: 筑波大学, テーラーメイドQOLプログラム開発研究センター, 研究員 )= 0.00044034066493163325
安永 守利 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.00043896029130363715
八神 健一 ( 2020年度: 筑波大学, 医学医療系, 特命教授 )= 0.0004387827770442231
三木 ひろみ ( 2020年度: 流通経済大学, スポーツ健康科学部, 教授 )= 0.0004364809086486904
大石 陽 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.00043437411455261225
高田 陽子 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.00043437411455261225
深水 昭吉 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 教授 )= 0.00043315173855363833
松村 明 ( 2020年度: 筑波大学, 医学医療系, 教授
2020年度: 茨城県立医療大学, 未登録, 学長 )= 0.00042979337965259217
嵯峨 寿 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0004295275111022365
小林 佑輔 ( 2020年度: 京都大学, 数理解析研究所, 准教授 )= 0.0004288478645074889
秋山 英三 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0004263512832488937
檜澤 伸之 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.00042580533279098516
谷口 綾子 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0004248585913349076
金谷 麻理子 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0004235273693363655
坂本 昭裕 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0004209484089377418
竹原 浩太 ( 2020年度: 東京都立大学, 経営学研究科, 准教授 )= 0.000419222403262904
尾縣 貢 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0004180396185071616
山田 永子 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.00041802123738446053
于 海涛 ( 2020年度: 筑波大学, 図書館情報メディア系, 助教 )= 0.0004178957135430401
足立 和隆 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.00041722633892389744
松田 裕雄 ( 2020年度: 筑波大学, 体育系, 研究員
2020年度: 筑波大学, 高細精医療イノベーション研究コア, 客員准教授 )= 0.00041486188212186485
クレウエ・ネベニウス ダニエラ ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0004138510091383097
曹 麗琴 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0004138510091383097
門根 秀樹 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0004099964011481652
